"movie_title","director_name","title_year","color","num_critic_for_reviews","duration","gross","genres","language","country","content_rating","budget","imdb_score"
"My Date with Drew ","Jon Gunn",2004,"Color",43,90,85222,"Documentary","English","USA","PG",1100,6.6
"Ex Machina ","Alex Garland",2015," Black and White",489,108,25440971,"Drama|Mystery|Sci-Fi|Thriller","English","UK","R",15000000,7.7
"Man on Wire ","James Marsh",2008,"Color",194,90,2957978,"Biography|Crime|Documentary|History|Thriller","English","UK","PG-13",1000000,7.8
"The Cable Guy ","Ben Stiller",1996,"Color",72,96,60154431,"Comedy|Drama|Thriller","English","USA","PG-13",47000000,6
"The Kingdom ","Peter Berg",2007,"Color",234,110,47456450,"Action|Drama|Thriller","English","USA","R",70000000,7.1
"Live Free or Die Hard ","Len Wiseman",2007,"Color",354,129,134520804,"Action|Adventure|Thriller","English","USA","PG-13",110000000,7.2
"Astro Boy ","David Bowers",2009,"Color",138,94,19548064,"Action|Animation|Comedy|Family|Sci-Fi","English","Hong Kong","PG",65000000,6.3
"Salt ","Phillip Noyce",2010,"Color",330,101,118311368,"Action|Crime|Mystery|Thriller","English","USA","PG-13",110000000,6.4
"Jefferson in Paris ","James Ivory",1995,"Color",20,139,2474000,"Biography|Drama|History|Romance","English","France","PG-13",14000000,5.7
"The Next Three Days ","Paul Haggis",2010,"Color",239,133,21129348,"Crime|Drama|Romance|Thriller","English","USA","PG-13",35000000,7.4
"The Phantom ","Simon Wincer",1996,"Color",60,100,17300889,"Action|Adventure|Comedy|Fantasy","English","Australia","PG",45000000,4.9
"Lights Out ","David F. Sandberg",2016,"Color",159,81,56536016,"Horror","English","USA","PG-13",4900000,6.9
"The Rundown ","Peter Berg",2003,"Color",151,104,47592825,"Action|Adventure|Comedy|Thriller","English","USA","PG-13",85000000,6.7
"Changeling ","Clint Eastwood",2008,"Color",264,141,35707327,"Crime|Drama|Mystery|Thriller","English","USA","R",55000000,7.8
"Blade: Trinity ","David S. Goyer",2004,"Color",185,122,52397389,"Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller","English","USA","R",65000000,5.9
"Beyond the Sea ","Kevin Spacey",2004," Black and White",113,118,6144806,"Biography|Drama|Music|Musical","English","USA","PG-13",23000000,6.7
"The Missing Person ","Noah Buschel",2009,"Color",66,95,17580,"Drama","English","USA","",1500000,6.2
"Paul ","Greg Mottola",2011,"Color",342,109,37371385,"Adventure|Comedy|Sci-Fi","English","USA","R",40000000,7
"Batman ","Tim Burton",1989,"Color",186,126,251188924,"Action|Adventure","English","USA","PG-13",35000000,7.6
"Sense and Sensibility ","Ang Lee",1995,"Color",69,136,42700000,"Drama|Romance","English","USA","PG",16500000,7.7
"Martian Child ","Menno Meyjes",2007,"Color",118,106,7486906,"Comedy|Drama|Family","English","USA","PG",27000000,6.8
"The Hunted ","William Friedkin",2003,"Color",135,94,34238611,"Action|Crime|Drama|Thriller","English","USA","R",55000000,6
